Brand,Smartphone,Price,Color,RAM,ROM,Primary camera,Secondary camera,Battery,Display size,Display resolution,Processor,Processor core,Product_url
realme,"realme 8i (Space Black, 64 GB)  (4 GB RAM)","₹13,999",Space Black,4 GB,64 GB,50MP + 2MP + 2MP,16MP Front Camera,Dimensions,16.76 cm (6.6 inch),2412 x 1080 Pixels,MediaTek Helio G96,Processor Type,https://www.flipkart.com/realme-8i-space-black-64-gb/p/itm7ab6edcb3b2a4?pid=MOBG63YXSVKZ5AZJ&lid=LSTMOBG63YXSVKZ5AZJGKGMFT&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG63YXSVKZ5AZJ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 (Racing Silver, 64 GB)  (4 GB RAM)","₹13,499",Racing Silver,4 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Helio G95,Processor Type,https://www.flipkart.com/realme-narzo-30-racing-silver-64-gb/p/itm957dacbc8270c?pid=MOBG3W3GZRGE2JRF&lid=LSTMOBG3W3GZRGE2JRFDEWPEN&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_25&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG3W3GZRGE2JRF.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C11 2021 (Cool Grey, 64 GB)  (4 GB RAM)","₹8,799",Cool Grey,4 GB,64 GB,8MP Rear Camera,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Processor Type,https://www.flipkart.com/realme-c11-2021-cool-grey-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDJ68N57TH&lid=LSTMOBG5BCDJ68N57THWJHNPW&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_26&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5BCDJ68N57TH.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme 8s 5G (Universe Purple, 128 GB)  (6 GB RAM)","₹17,999",Universe Purple,6 GB,128 GB,64MP + 2MP + 2MP,16MP Front Camera,Dimensions,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 810 5G,Processor Type,https://www.flipkart.com/realme-8s-5g-universe-purple-128-gb/p/itm79fdf59bdbe44?pid=MOBG5Y94WJ6GJ8MK&lid=LSTMOBG5Y94WJ6GJ8MKGEPHW3&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_27&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5Y94WJ6GJ8MK.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30A (Laser Blue, 64 GB)  (4 GB RAM)","₹10,499",Laser Blue,4 GB,64 GB,13MP + 2MP,Yes,Battery & Power Features,16.54 cm (6.51 inch),1600 x 720 Pixels,MediaTek Helio G85,Processor Type,https://www.flipkart.com/realme-narzo-30a-laser-blue-64-gb/p/itma78aeb1d764b5?pid=MOBGYFAXFPHUPEE5&lid=LSTMOBGYFAXFPHUPEE58SG25P&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_28&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGYFAXFPHUPEE5.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme 8s 5G (Universe Blue, 128 GB)  (8 GB RAM)","₹19,999",Universe Blue,8 GB,128 GB,64MP + 2MP + 2MP,16MP Front Camera,Dimensions,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 810 5G,Processor Type,https://www.flipkart.com/realme-8s-5g-universe-blue-128-gb/p/itm79fdf59bdbe44?pid=MOBG5Y94RHMNGS6H&lid=LSTMOBG5Y94RHMNGS6HNEHTZU&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_29&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5Y94RHMNGS6H.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme 8s 5G (Universe Purple, 128 GB)  (8 GB RAM)","₹19,999",Universe Purple,8 GB,128 GB,64MP + 2MP + 2MP,16MP Front Camera,Dimensions,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 810 5G,Processor Type,https://www.flipkart.com/realme-8s-5g-universe-purple-128-gb/p/itm79fdf59bdbe44?pid=MOBG5Y94BMGBRSKP&lid=LSTMOBG5Y94BMGBRSKP1O7FSI&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_30&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5Y94BMGBRSKP.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme 8s 5G (Universe Blue, 128 GB)  (6 GB RAM)","₹17,999",Universe Blue,6 GB,128 GB,64MP + 2MP + 2MP,16MP Front Camera,Dimensions,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 810 5G,Processor Type,https://www.flipkart.com/realme-8s-5g-universe-blue-128-gb/p/itm79fdf59bdbe44?pid=MOBG5Y94XBCAQYPR&lid=LSTMOBG5Y94XBCAQYPRGC5NAJ&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_31&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5Y94XBCAQYPR.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme 8i (Space Black, 128 GB)  (6 GB RAM)","₹15,999",Space Black,6 GB,128 GB,50MP + 2MP + 2MP,16MP Front Camera,Dimensions,16.76 cm (6.6 inch),2412 x 1080 Pixels,MediaTek Helio G96,Processor Type,https://www.flipkart.com/realme-8i-space-black-128-gb/p/itm7ab6edcb3b2a4?pid=MOBG63YXVG5VRHWN&lid=LSTMOBG63YXVG5VRHWNFXQWVX&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_32&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG63YXVG5VRHWN.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme 8i (Space Purple, 64 GB)  (4 GB RAM)","₹13,999",Space Purple,4 GB,64 GB,50MP + 2MP + 2MP,16MP Front Camera,Dimensions,16.76 cm (6.6 inch),2412 x 1080 Pixels,MediaTek Helio G96,Processor Type,https://www.flipkart.com/realme-8i-space-purple-64-gb/p/itm7ab6edcb3b2a4?pid=MOBG63YX5KJ6VFDH&lid=LSTMOBG63YX5KJ6VFDHOK60T3&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_33&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG63YX5KJ6VFDH.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
